species,og_species_patch,genus,family,allotb,gbotb,match_level_allotb,match_level_gbotb
Rhodolirium_montanum,Rhodolirion_montanum,Rhodolirium,Amaryllidaceae,Rhodophiala_rhodolirion,NA,manual_synonym,NA
Rhodolirium_montanum,Rhodophiala_rhodolirion,Rhodolirium,Amaryllidaceae,Rhodophiala_rhodolirion,NA,direct_original,NA
Aiouea_erythropus,Cinnamomum_erythropus,Aiouea,Lauraceae,Cinnamomum_erythropus,Aiouea_saligna,direct_original,direct_genus_accepted
Aiouea_erythropus,Phoebe_erythropus,Aiouea,Lauraceae,Cinnamomum_erythropus,Aiouea_saligna,manual_synonym,direct_genus_accepted
Stenostephanus_blepharorhachis,Hansteinia_blepharorhachis,Stenostephanus,Acanthaceae,Hansteinia_blepharorhachis,Stenostephanus_chiapensis,direct_original,direct_genus_accepted
Stenostephanus_blepharorhachis,Hansteinia_blepharorachis,Stenostephanus,Acanthaceae,Hansteinia_blepharorhachis,Stenostephanus_chiapensis,direct_original,direct_genus_accepted
Fuchsia_parviflora,Fuchsia_parviflora,Fuchsia,Onagraceae,Fuchsia_cylindracea,Fuchsia_boliviana,manual_synonym,direct_genus_accepted
Fuchsia_parviflora,Fuchsia_parvilora,Fuchsia,Onagraceae,Fuchsia_cylindracea,Fuchsia_boliviana,manual_synonym,direct_genus_accepted
Palicourea_axillaris,Psychotria_aubletiana,Palicourea,Rubiaceae,Psychotria_aubletiana,Palicourea_alpina,direct_original,direct_genus_accepted
Palicourea_axillaris,Cephaelis_axillaris,Palicourea,Rubiaceae,Psychotria_aubletiana,Palicourea_alpina,manual_synonym,direct_genus_accepted